data,valor1
6/2025,43.8110
5/2025,58.4492
4/2025,72.9403
3/2025,70.2768
2/2025,60.1334
1/2025,54.8451
12/2024,58.3777
11/2024,56.3730
10/2024,49.3239
9/2024,42.3827
8/2024,39.2048
7/2024,37.6930
6/2024,37.5144
5/2024,36.5543
4/2024,35.6703
3/2024,35.4560
2/2024,39.1062
1/2024,40.7540
12/2023,38.6505
11/2023,35.5711
10/2023,35.9278
9/2023,36.1646
8/2023,34.0353
7/2023,33.6303
6/2023,35.9379
5/2023,46.3896
4/2023,54.2279
3/2023,59.3713
2/2023,60.9196
1/2023,64.4774
12/2022,65.0425
11/2022,65.9046
10/2022,66.4282
9/2022,66.2951
8/2022,63.5328
7/2022,60.7393
6/2022,68.4240
5/2022,71.8150
4/2022,74.1886
3/2022,79.1621
2/2022,76.9913
1/2022,69.0115
12/2021,65.1451
11/2021,68.8293
10/2021,72.8425
9/2021,71.5469
8/2021,78.9328
7/2021,72.7583
6/2021,72.0014
5/2021,77.5019
4/2021,74.6514
3/2021,69.7888
2/2021,65.5853
1/2021,61.3407
12/2020,59.0318
11/2020,64.4063
10/2020,57.3622
9/2020,46.5750
8/2020,40.1365
7/2020,32.9474
6/2020,33.7348
5/2020,38.5678
4/2020,40.1855
3/2020,40.1405
2/2020,38.4999
1/2020,35.5546
12/2019,31.6019
11/2019,28.9225
10/2019,26.5983
9/2019,23.7264
8/2019,23.2877
7/2019,23.7781
6/2019,23.1616
5/2019,23.0159
4/2019,23.6403
3/2019,24.1645
2/2019,22.4497
1/2019,22.1365
12/2018,21.7114
11/2018,19.9886
10/2018,21.3705
9/2018,23.5982
8/2018,22.4570
7/2018,20.3746
6/2018,22.6022
5/2018,23.0607
4/2018,23.0213
3/2018,20.0532
2/2018,17.1801
1/2018,16.5602
12/2017,16.7264
11/2017,16.0537
10/2017,14.8018
9/2017,13.3432
8/2017,12.5662
7/2017,13.1983
6/2017,14.5703
5/2017,17.0501
4/2017,19.9972
3/2017,22.1645
2/2017,23.6184
1/2017,24.3494
12/2016,25.4417
11/2016,27.0974
10/2016,27.7922
9/2016,27.6494
8/2016,29.6219
7/2016,28.6099
6/2016,31.6068
5/2016,34.6890
4/2016,30.5707
3/2016,28.0947
2/2016,24.1238
1/2016,21.1962
12/2015,19.2245
11/2015,18.4467
10/2015,18.4033
9/2015,17.1852
8/2015,15.8513
7/2015,15.5065
6/2015,15.1107
5/2015,15.2461
4/2015,16.0746
3/2015,16.7085
2/2015,16.0855
1/2015,16.2489
12/2014,16.3867
11/2014,15.9703
10/2014,13.3352
9/2014,11.4740
8/2014,11.7870
7/2014,11.4835
6/2014,15.6247
5/2014,19.2754
4/2014,20.2609
3/2014,18.6672
2/2014,15.6905
1/2014,14.7005
12/2013,13.7243
11/2013,12.0661
10/2013,10.3712
9/2013,10.6156
8/2013,10.9821
7/2013,11.1195
6/2013,12.6520
5/2013,13.1611
4/2013,17.1423
3/2013,18.5839
2/2013,18.8758
1/2013,18.8754
12/2012,19.7123
11/2012,19.0938
10/2012,18.0181
9/2012,19.2258
8/2012,21.8710
7/2012,19.1580
6/2012,14.6366
5/2012,14.9512
4/2012,19.9375
3/2012,21.4707
2/2012,19.6652
1/2012,16.0203
12/2011,15.6681
11/2011,17.4918
10/2011,17.8345
9/2011,19.3112
8/2011,18.2656
7/2011,16.8798
6/2011,18.9090
5/2011,20.0090
4/2011,20.0760
3/2011,19.6700
2/2011,20.4777
1/2011,17.6924
12/2010,15.8463
11/2010,15.6690
10/2010,13.3268
9/2010,11.9025
8/2010,9.1300
7/2010,7.9789
6/2010,8.7352
5/2010,8.4783
4/2010,8.3413
3/2010,7.7250
2/2010,7.4926
1/2010,8.1622
12/2009,9.7353
11/2009,9.9800
10/2009,8.3497
9/2009,8.6452
8/2009,9.1875
7/2009,10.7375
6/2009,12.3922
5/2009,12.7038
4/2009,12.3663
3/2009,12.8935
2/2009,13.1442
1/2009,13.1971
12/2008,11.5105
11/2008,12.2067
10/2008,12.8243
9/2008,13.2169
8/2008,13.8663
7/2008,14.9024
6/2008,15.7870
5/2008,17.8908
4/2008,17.1762
3/2008,17.3754
2/2008,18.7894
1/2008,20.8082
12/2007,20.6800
11/2007,16.9910
10/2007,16.2750
9/2007,15.7805
8/2007,11.8657
7/2007,10.4619
6/2007,10.4034
5/2007,11.2600
4/2007,13.2187
3/2007,13.7744
2/2007,14.1208
1/2007,13.6511
12/2006,12.8939
11/2006,10.8697
10/2006,9.7716
9/2006,9.4190
8/2006,9.7377
7/2006,9.6678
6/2006,9.3750
5/2006,8.8863
4/2006,8.9333
3/2006,9.8673
2/2006,9.5385
1/2006,9.2654
12/2005,9.1451
11/2005,9.5654
10/2005,10.2039
9/2005,10.4823
8/2005,10.6375
7/2005,11.1729
6/2005,13.4302
5/2005,14.8221
4/2005,14.5287
3/2005,11.7058
2/2005,14.1972
1/2005,13.8173
11/2004,10.9600
10/2004,11.3655
9/2004,11.8714
8/2004,11.6857
7/2004,12.2243
6/2004,13.5724
5/2004,15.2000
4/2004,14.5611
