data,valor_1
6/2025,109.6685
5/2025,109.2316
4/2025,110.5105
3/2025,108.6586
2/2025,107.1168
1/2025,117.2534
12/2024,134.2558
11/2024,140.2564
10/2024,131.9656
9/2024,123.7521
8/2024,117.5516
7/2024,120.0369
6/2024,118.9727
5/2024,114.0022
4/2024,108.1828
3/2024,103.2496
2/2024,97.6436
1/2024,107.7371
12/2023,122.9548
11/2023,121.2374
10/2023,119.6291
9/2023,119.2491
8/2023,117.4026
7/2023,110.8743
6/2023,107.7732
5/2023,112.0696
4/2023,125.2306
3/2023,140.0883
2/2023,146.9514
1/2023,153.8375
12/2022,161.2294
11/2022,166.4214
10/2022,160.1337
9/2022,160.6848
8/2022,160.7707
7/2022,162.7612
6/2022,167.0821
5/2022,169.6312
4/2022,163.8339
3/2022,179.2949
2/2022,172.8668
1/2022,157.6591
12/2021,147.7805
11/2021,150.7073
10/2021,159.1253
9/2021,163.2808
8/2021,164.3178
7/2021,153.2396
6/2021,149.7397
5/2021,162.8333
4/2021,160.8866
3/2021,156.5591
2/2021,150.3854
1/2021,147.6618
12/2020,147.9145
11/2020,169.1946
10/2020,156.7972
9/2020,130.8449
8/2020,117.0222
7/2020,104.0607
6/2020,95.6078
5/2020,95.6290
4/2020,87.6745
3/2020,79.8890
2/2020,73.4461
1/2020,74.7031
12/2019,77.6578
11/2019,76.9140
10/2019,74.5128
9/2019,73.7361
8/2019,69.4429
7/2019,63.9699
6/2019,65.2316
5/2019,63.1625
4/2019,63.8157
3/2019,64.1039
2/2019,62.3846
1/2019,62.2195
12/2018,66.0011
11/2018,67.3536
10/2018,71.9475
9/2018,74.5567
8/2018,71.6202
7/2018,69.9632
6/2018,71.6051
5/2018,70.7859
4/2018,67.7963
3/2018,62.9935
2/2018,58.9275
1/2018,57.5758
12/2017,59.0193
11/2017,58.8494
10/2017,57.4391
9/2017,55.6064
8/2017,54.0753
7/2017,56.1382
6/2017,54.4073
5/2017,54.4562
4/2017,51.0063
3/2017,55.7307
2/2017,58.8809
1/2017,62.2955
12/2016,65.4482
11/2016,67.4912
10/2016,71.0813
9/2016,70.6414
8/2016,71.2170
7/2016,75.2391
6/2016,83.2018
5/2016,73.7497
4/2016,61.5107
3/2016,58.9407
2/2016,62.9927
1/2016,66.7628
12/2015,65.2294
11/2015,65.4346
10/2015,67.8806
9/2015,65.7242
8/2015,59.7527
7/2015,57.2552
6/2015,54.2962
5/2015,54.0844
4/2015,55.3615
3/2015,55.7112
2/2015,51.1383
1/2015,53.2508
12/2014,56.5336
11/2014,56.6173
10/2014,53.6219
9/2014,53.7148
8/2014,56.4311
7/2014,55.0277
6/2014,57.3626
5/2014,57.3806
4/2014,55.6393
3/2014,55.1181
2/2014,53.7762
1/2014,55.0727
